,X,Y,Z,AUGT
2361889,561.0,-908.0,-785.0,40.0
1532139,-183.0,308.0,151.0,10.28019323348999
1353686,441.0,756.0,375.0,13.770860743522643
2184928,-47.0,4.0,135.0,20.455554628372195
1586116,649.0,-1004.0,-289.0,16.326527881622315
1055704,113.0,124.0,223.0,24.628526306152345
3391922,-167.0,-868.0,383.0,11.485587644577027
100919,105.0,-316.0,-145.0,14.484247398376464
3033352,-95.0,476.0,-33.0,18.5041431427002
1898213,-79.0,-1076.0,503.0,26.848081779479987
2530090,-127.0,356.0,-201.0,11.55682525634766
2237318,481.0,324.0,-145.0,13.749070525169374
3174347,81.0,500.0,183.0,36.063124465942394
742484,553.0,-828.0,-801.0,23.780682134628297
2572399,-735.0,-836.0,359.0,10.653970479965212
363792,-127.0,156.0,551.0,20.071816873550414
1704508,841.0,-372.0,-953.0,10.316298031806946
3408148,33.0,-996.0,367.0,10.088908481597901
40568,-207.0,188.0,239.0,21.61896677017212
2853842,-199.0,260.0,175.0,15.578094863891602
1400123,649.0,-820.0,-937.0,21.117039394378665
2861420,361.0,748.0,487.0,19.870543575286867
751581,-167.0,-108.0,191.0,24.599268627166747
225352,-495.0,372.0,255.0,14.824161720275882
2066631,-63.0,348.0,159.0,12.055030584335327
3476017,57.0,532.0,191.0,23.258639812469482
333271,-119.0,-420.0,-233.0,10.78321409225464
1499576,-319.0,84.0,167.0,15.163073682785035
3359271,-263.0,868.0,199.0,12.727596211433413
3187368,-23.0,652.0,215.0,14.95716009140015
3317265,-175.0,388.0,231.0,10.761094427108764
189307,49.0,-540.0,-425.0,40.0
316469,-271.0,324.0,183.0,11.519754314422608
421546,-271.0,292.0,159.0,16.456495809555054
2370530,449.0,756.0,223.0,25.96354284286499
3423302,-407.0,-1140.0,399.0,13.168971967697143
543267,-279.0,-180.0,135.0,11.031794548034668
384309,-303.0,732.0,247.0,10.098996329307557
893375,513.0,732.0,143.0,18.706044960021973
3449925,-55.0,-1068.0,511.0,22.08218765258789
3328991,321.0,28.0,-153.0,17.416239738464355
3239521,473.0,-684.0,-713.0,13.387985157966616
283801,-151.0,708.0,159.0,18.56866564750672
2059344,-239.0,148.0,551.0,16.333169388771058
261895,-279.0,68.0,191.0,12.302153062820434
2733996,105.0,852.0,191.0,10.679125261306764
3198660,97.0,364.0,223.0,22.287323188781738
340699,-71.0,148.0,175.0,30.620537281036377
1404996,129.0,332.0,-81.0,17.101418280601507
3151172,33.0,-1060.0,503.0,17.77559142112732
3528734,-119.0,-268.0,-121.0,13.892365860939028
1839213,457.0,756.0,215.0,21.57093529701233
190340,-511.0,36.0,519.0,19.885408401489254
45925,609.0,-1100.0,-921.0,18.609085965156556
2704910,-487.0,276.0,151.0,19.131573390960696
3596336,-39.0,-1044.0,543.0,27.777402114868174
2168661,537.0,676.0,143.0,13.591705942153931
2341520,-23.0,372.0,151.0,15.178120756149292
2627687,-7.0,436.0,183.0,20.298787021636965
884251,-39.0,276.0,-209.0,19.686408519744877
3048411,-319.0,436.0,15.0,17.971488428115848
1733209,-111.0,-28.0,159.0,33.014423847198486
644551,49.0,-332.0,-153.0,12.986109137535095
1007087,9.0,292.0,-153.0,14.31785807609558
3431473,409.0,-68.0,127.0,11.978289341926574
3544770,41.0,-92.0,263.0,13.710289263725278
1876139,481.0,-652.0,-729.0,15.658667969703677
3323398,305.0,-996.0,-977.0,14.081289577484133
310877,-263.0,460.0,271.0,11.947605228424075
3571528,-591.0,532.0,527.0,14.98991551399231
602173,33.0,-1172.0,375.0,23.780362033844
1453062,-463.0,524.0,479.0,13.309322142601015
1417155,65.0,372.0,143.0,39.551274394989015
2888238,-279.0,508.0,7.0,10.166331982612613
1468904,-343.0,684.0,535.0,16.645379805564886
3073488,305.0,676.0,183.0,18.90173869132996
3352074,337.0,-628.0,63.0,11.276323509216311
1643819,-487.0,316.0,119.0,14.340610933303836
499035,-327.0,-44.0,127.0,11.856028366088868
1155753,97.0,916.0,159.0,16.607655811309815
2383966,593.0,-852.0,-953.0,13.784278106689456
905543,241.0,460.0,167.0,20.68005976676941
480815,-215.0,516.0,231.0,22.040354919433604
2302771,-287.0,-108.0,175.0,11.384205651283267
2070858,-23.0,196.0,183.0,10.167101860046387
1011863,-503.0,-172.0,527.0,10.169194197654727
2655914,449.0,668.0,215.0,11.647566819190981
1601760,-255.0,-1196.0,351.0,10.842318248748779
3181786,465.0,484.0,183.0,15.611921572685242
2969945,305.0,-1004.0,-689.0,11.612035632133484
3651280,-111.0,196.0,519.0,12.039913415908813
4968,-119.0,-428.0,95.0,10.191194701194764
2451587,-455.0,524.0,511.0,36.99556169509888
1448833,-543.0,572.0,487.0,13.180257272720336
607086,-231.0,-4.0,167.0,28.70364060401917
943392,401.0,68.0,-361.0,10.68928554058075
2484685,-71.0,20.0,143.0,30.311618995666514
1254346,-207.0,-436.0,359.0,11.142339134216305
379464,393.0,-700.0,-673.0,19.846253299713137
1134175,417.0,564.0,151.0,10.863382983207703
2397501,-119.0,244.0,215.0,17.552253365516666
2139166,161.0,412.0,-153.0,11.128045582771303
1582286,-503.0,316.0,199.0,18.64410195350647
3558966,-135.0,700.0,143.0,20.277034187316893
2666663,697.0,-1284.0,-577.0,13.022573757171633
1949565,-15.0,484.0,-97.0,18.764018249511718
1826550,-231.0,708.0,535.0,16.573858308792115
1071079,-103.0,540.0,183.0,13.597364950180054
1906975,385.0,-1060.0,-913.0,35.5519585609436
1553016,33.0,468.0,-89.0,10.207313060760498
1853898,-271.0,324.0,223.0,19.94997296333313
270908,-303.0,-4.0,599.0,11.172131872177124
2376700,-247.0,4.0,135.0,11.025360989570618
2636303,313.0,580.0,271.0,20.28289647102356
438739,-663.0,-1228.0,399.0,15.578194165229798
891475,81.0,732.0,223.0,13.565672636032104
2883015,-407.0,708.0,495.0,16.346967601776125
2264363,121.0,684.0,143.0,29.08573112487793
2046024,177.0,404.0,-89.0,15.532250356674194
101448,-31.0,252.0,-225.0,12.337954115867614
1610973,-751.0,-1444.0,359.0,16.211043930053712
2412802,-191.0,-1068.0,519.0,16.361838269233704
3307427,-303.0,-28.0,55.0,10.520703411102298
3245979,137.0,-772.0,-961.0,11.131724405288697
2183443,1.0,-28.0,151.0,17.767955732345587
3302053,193.0,-1028.0,519.0,11.39413812160492
3091291,129.0,348.0,-121.0,17.826430201530453
2613889,-583.0,540.0,527.0,13.230139255523687
3088054,329.0,612.0,143.0,26.94969625473023
3231603,209.0,-68.0,-369.0,12.594304609298707
2281434,-175.0,476.0,207.0,15.27366499900818
2910977,-7.0,524.0,-201.0,10.382940912246703
133395,-559.0,628.0,495.0,13.538298177719117
1768159,-151.0,628.0,151.0,27.27091388702393
2749085,521.0,484.0,-57.0,11.765008759498595
3653370,609.0,-980.0,-913.0,14.270108151435853
2692232,-255.0,220.0,143.0,15.188293886184692
1954386,121.0,708.0,183.0,26.80340552330017
1230515,-255.0,-52.0,-33.0,23.166039562225343
2340552,337.0,708.0,463.0,18.599361443519594
1709334,321.0,36.0,-217.0,15.723706841468813
1421977,-159.0,388.0,159.0,26.11055321693421
345494,545.0,-844.0,-809.0,10.228863787651065
2946141,17.0,764.0,167.0,10.427182579040528
2003473,537.0,684.0,159.0,27.466399669647217
2755303,633.0,-1004.0,-809.0,10.087545132637024
2868160,329.0,-28.0,-337.0,15.669914722442627
1811613,305.0,276.0,-369.0,14.728680562973025
2934459,-311.0,-228.0,415.0,10.599611759185793
1916866,57.0,-596.0,-601.0,11.610922288894653
3068125,9.0,-348.0,-329.0,17.729988741874696
555014,17.0,372.0,151.0,18.163373661041266
1350784,-103.0,244.0,207.0,21.548708152771002
3401234,497.0,604.0,135.0,12.576533174514774
2726286,289.0,556.0,271.0,14.549956846237185
3141474,73.0,748.0,151.0,25.686548185348517
1271335,201.0,12.0,-281.0,14.687326812744141
2851500,185.0,12.0,-257.0,13.123732614517213
1623454,249.0,-1276.0,-809.0,27.78250036239624
2179871,-471.0,-308.0,375.0,10.943703746795657
3217270,-15.0,-108.0,31.0,16.654490995407105
1472492,209.0,-436.0,-449.0,12.333815002441408
316558,-87.0,-1004.0,519.0,10.895507550239566
3104318,17.0,244.0,199.0,12.966369199752808
25652,1.0,244.0,439.0,10.68834626674652
1052308,457.0,-524.0,79.0,13.287100839614869
3103847,401.0,724.0,159.0,23.69369883537293
2226949,41.0,292.0,167.0,19.81182026863098
3278058,-191.0,804.0,143.0,13.552358078956606
3054484,425.0,-956.0,-897.0,10.722454524040225
1642965,-631.0,-252.0,367.0,10.858456468582157
2013822,17.0,-196.0,-89.0,13.020406651496888
2018138,97.0,260.0,143.0,28.693916082382213
3069206,737.0,-1012.0,-977.0,10.313167119026184
3531072,-239.0,-108.0,159.0,11.206840610504154
488308,137.0,188.0,-145.0,14.770083379745483
3702992,-71.0,548.0,183.0,20.110242986679076
814177,361.0,-740.0,-697.0,11.113704133033753
1823077,-15.0,396.0,183.0,31.45475029945374
1657191,369.0,12.0,-305.0,10.988594961166381
3618673,-583.0,556.0,495.0,19.825421047210696
3398993,-223.0,-1044.0,543.0,17.887641882896425
1712949,-55.0,540.0,143.0,13.728895998001098
3248848,-31.0,956.0,151.0,31.24534597396851
2911796,-223.0,-100.0,191.0,13.035617280006411
3199774,-127.0,500.0,143.0,38.4209050655365
2169089,-55.0,516.0,159.0,24.460987424850465
3153659,-279.0,-132.0,567.0,25.83619179725647
2545379,593.0,-1348.0,-481.0,11.87099716663361
3681946,-15.0,708.0,159.0,17.109850716590884
1207212,-351.0,388.0,207.0,22.78984403610229
1781725,-87.0,284.0,143.0,36.96266608238221
1508410,-79.0,444.0,183.0,30.190251731872557
3406813,-399.0,692.0,519.0,18.134802913665773
3355930,337.0,212.0,-353.0,12.307940578460697
3581049,-279.0,-1140.0,415.0,23.28271045684815
2742978,409.0,260.0,-153.0,20.96885142326355
514356,393.0,-828.0,-721.0,25.924205493927
566333,-303.0,-236.0,495.0,17.00355272293091
446073,441.0,-836.0,-353.0,14.055236411094668
2584902,1.0,-1028.0,511.0,19.55472910404205
686324,105.0,252.0,231.0,40.0
1341980,-311.0,-1020.0,535.0,14.10346999168396
1188758,-191.0,-36.0,263.0,15.543689870834351
613211,225.0,-236.0,-49.0,11.635232424736026
177415,225.0,284.0,-161.0,10.304900574684144
1800267,-87.0,-1116.0,399.0,11.345093774795533
1499081,-231.0,220.0,-201.0,16.461110401153565
2700769,401.0,-1076.0,-873.0,12.707581734657287
2246482,1.0,76.0,103.0,13.313673877716065
2112244,761.0,-1468.0,-745.0,12.613343596458435
3631363,-295.0,620.0,159.0,27.526087951660163
2013291,-127.0,116.0,191.0,13.481232619285587
104381,-311.0,444.0,-17.0,13.548495841026305
3208020,289.0,-636.0,-705.0,33.35773310661316
2543533,-223.0,-68.0,159.0,32.25830841064453
2205641,-575.0,260.0,471.0,11.924557971954346
2442896,-159.0,436.0,159.0,13.327643823623657
2073461,449.0,-884.0,-713.0,16.056423568725588
1034955,345.0,396.0,-249.0,24.211533117294305
1152374,153.0,620.0,143.0,34.262996816635145
3166787,313.0,-1316.0,-817.0,14.804738378524783
1815807,-295.0,324.0,175.0,16.538182258605953
2655756,81.0,796.0,151.0,24.62849359512329
1608669,-127.0,252.0,-137.0,13.784215021133425
1984783,-135.0,708.0,159.0,22.174792575836182
336444,-127.0,308.0,191.0,39.66202926635742
1536716,-71.0,-1060.0,495.0,15.14947407245636
2658547,-191.0,868.0,151.0,27.97110047340393
706444,89.0,-484.0,-457.0,39.862108612060545
530956,-287.0,300.0,191.0,37.37790222167969
3490042,-167.0,372.0,135.0,19.916974544525143
579214,-111.0,12.0,151.0,19.839383983612066
1889208,-471.0,612.0,495.0,21.09336829185486
3496829,345.0,636.0,151.0,20.56259212493897
80061,49.0,564.0,183.0,40.0
2859283,-663.0,-1132.0,399.0,10.20629551410675
57211,-287.0,-28.0,127.0,17.82171747684479
323801,169.0,-332.0,-457.0,11.2936708688736
1393517,-311.0,420.0,247.0,13.913618683815004
2643145,361.0,-1276.0,-801.0,11.251400041580201
894238,641.0,-1124.0,-985.0,18.02952129840851
3539700,-519.0,564.0,551.0,12.438128137588501
2658399,609.0,-1028.0,-945.0,13.921517229080203
3014351,-775.0,-1204.0,359.0,13.597939729690554
1516155,17.0,-100.0,-9.0,29.8686252117157
698158,-47.0,316.0,183.0,10.382746982574464
2370998,-423.0,524.0,495.0,36.994930839538576
89338,-287.0,92.0,151.0,14.591906404495239
32980,-71.0,20.0,319.0,34.541601324081434
814648,561.0,-924.0,-793.0,13.412006735801699
242132,-303.0,884.0,199.0,25.603071975708012
3347980,17.0,60.0,311.0,11.621999645233155
739086,601.0,-980.0,-777.0,15.3304162979126
1026645,-63.0,28.0,63.0,19.293408870697018
3249335,-663.0,-1404.0,407.0,15.25769383907318
3102747,257.0,-12.0,-361.0,26.437495279312127
790043,297.0,756.0,487.0,26.431011486053468
126867,417.0,-1252.0,-881.0,11.64223608970642
3472176,-287.0,636.0,159.0,17.826844930648804
2466480,361.0,-716.0,-849.0,17.94538035392761
3166463,-111.0,460.0,167.0,28.834737062454227
3163412,417.0,-876.0,-969.0,26.10587086677552
2619931,-71.0,204.0,191.0,38.96326794624329
754990,641.0,-820.0,-801.0,11.813842821121217
173743,289.0,-1084.0,-977.0,10.667535042762758
511928,105.0,-204.0,-89.0,28.22827692031861
2269621,-127.0,-44.0,175.0,24.123145580291748
1238954,65.0,604.0,191.0,11.94701292514801
647656,-71.0,236.0,159.0,19.40394878387451
732690,73.0,500.0,135.0,10.555885291099552
875,-303.0,-1140.0,399.0,22.216992139816284
1235436,-247.0,916.0,295.0,10.197210025787356
2682884,113.0,-236.0,-369.0,17.72406687736511
2185211,-863.0,-1220.0,375.0,22.97627353668213
512511,-47.0,-60.0,-113.0,17.651399326324466
1228966,-239.0,-4.0,167.0,27.33067927360535
851303,177.0,644.0,151.0,20.80847158432007
2556835,-215.0,900.0,167.0,11.567087173461914
1519907,-167.0,404.0,215.0,12.818220949172973
1660423,1.0,-476.0,-289.0,12.171301937103275
211174,233.0,-1300.0,-809.0,12.38467597961426
1275051,-871.0,-1116.0,383.0,10.102880764007569
2849879,-55.0,-116.0,55.0,21.989127111434943
3626472,-127.0,276.0,207.0,27.99488139152527
206564,33.0,996.0,199.0,16.637616777420043
990415,-247.0,364.0,199.0,23.911748218536378
2686139,-47.0,836.0,143.0,26.983680677413947
2534528,1.0,388.0,255.0,13.575053691864015
459997,-271.0,708.0,199.0,29.983282041549682
663747,-119.0,20.0,255.0,11.51772623062134
126806,-23.0,84.0,255.0,12.859055995941164
1443638,-503.0,380.0,191.0,20.304791831970213
1697304,113.0,196.0,63.0,16.619799780845643
3162403,-111.0,132.0,159.0,23.774086189270026
2336018,-159.0,356.0,199.0,13.789788746833803
1807665,-87.0,-20.0,191.0,11.281382036209106
1471485,-263.0,-1052.0,519.0,34.2885838508606
116349,-439.0,524.0,519.0,40.0
3297077,145.0,284.0,-89.0,23.869525289535524
315034,329.0,764.0,463.0,38.69616603851319
3247188,-95.0,-364.0,151.0,12.117350935935974
1337566,-343.0,428.0,215.0,38.3416298866272
1892456,609.0,-996.0,-921.0,11.892204427719117
1739757,625.0,-852.0,-825.0,14.679365181922913
2900369,57.0,260.0,167.0,25.00261898040772
1804672,-215.0,92.0,159.0,24.02518539428711
3357874,361.0,-724.0,-905.0,14.386248660087588
224976,-199.0,276.0,-209.0,12.827871870994567
1135007,345.0,-1060.0,-905.0,11.174796652793882
617687,-583.0,292.0,543.0,12.402947425842287
147525,33.0,396.0,399.0,18.006059312820433
3660662,-119.0,196.0,-161.0,20.25675101280213
1825437,617.0,-1028.0,-913.0,10.349535942077637
58167,-247.0,388.0,223.0,11.651035356521607
854329,-127.0,220.0,231.0,15.650369882583618
695946,121.0,-348.0,-281.0,40.0
2507176,609.0,-1196.0,-985.0,16.80863003730774
1891485,-503.0,500.0,255.0,23.890509414672852
1510373,-87.0,268.0,215.0,20.417677593231204
2803546,-15.0,788.0,143.0,15.586746931076052
1038401,25.0,-876.0,-881.0,11.398387050628665
2232112,-511.0,204.0,191.0,22.269133520126342
3398027,9.0,-1156.0,375.0,24.666351938247686
3388941,-519.0,380.0,151.0,14.427577877044678
2060705,105.0,396.0,159.0,27.18017582893372
1971104,-215.0,460.0,167.0,12.554862117767337
205181,-55.0,788.0,151.0,30.306090831756592
26774,57.0,508.0,167.0,22.416251373291022
89474,-519.0,708.0,527.0,16.6215042591095
951231,-511.0,-364.0,375.0,13.555546236038207
3503577,-239.0,524.0,191.0,29.387773084640504
2817574,137.0,92.0,119.0,15.929420661926269
3125551,-15.0,52.0,279.0,19.615327453613286
2172179,-271.0,-84.0,143.0,13.870784759521484
2645031,-271.0,-84.0,327.0,34.53723440170288
3368050,-79.0,332.0,287.0,10.881952333450318
1030990,201.0,-868.0,-721.0,10.23105425834656
1537744,97.0,-684.0,-545.0,14.375730895996096
3119596,393.0,-868.0,-913.0,11.825655007362366
2323949,-367.0,428.0,159.0,14.030449628829956
2311955,137.0,412.0,119.0,11.87984199523926
793533,-191.0,244.0,-129.0,12.195772123336791
3414801,-167.0,396.0,191.0,11.712683963775635
1811779,697.0,-964.0,-937.0,14.418923473358154
870820,433.0,-924.0,-705.0,17.540782308578493
115196,-71.0,-140.0,167.0,18.640405607223517
1855607,-167.0,676.0,183.0,15.500929546356204
100989,-79.0,-124.0,55.0,15.137180566787722
2185696,409.0,780.0,151.0,18.32140531539917
1315257,313.0,524.0,-121.0,12.650742816925051
1715479,593.0,-348.0,-849.0,31.61380300521851
569525,385.0,44.0,-337.0,17.024083566665652
2502436,49.0,-620.0,-433.0,10.718775701522828
312623,417.0,516.0,111.0,16.050086975097653
286176,-375.0,428.0,135.0,12.860010457038882
3300151,-55.0,580.0,-57.0,21.416219139099127
2135631,329.0,644.0,143.0,16.938569927215582
2567485,-103.0,460.0,167.0,40.0
3501869,-31.0,-324.0,-121.0,11.494817996025086
1537030,185.0,-404.0,-337.0,11.495279455184937
3492787,217.0,572.0,127.0,11.567158436775207
393599,377.0,-1004.0,-761.0,22.43300876617432
1965663,-95.0,196.0,335.0,12.979344964027407
883550,-47.0,-612.0,-713.0,15.235507583618164
1269594,41.0,444.0,199.0,37.87124996185303
1125304,-95.0,-1156.0,359.0,18.885059571266176
2115922,385.0,316.0,-345.0,15.237748289108277
1522170,-63.0,220.0,143.0,17.380061340332038
2796871,-303.0,404.0,119.0,14.719591569900516
2006728,-207.0,612.0,127.0,10.755343127250672
3253347,113.0,-308.0,-265.0,10.75324261188507
2154029,65.0,452.0,-97.0,10.391109323501588
815911,1.0,820.0,199.0,19.968641614913945
2566487,-79.0,468.0,151.0,40.0
2478096,-263.0,-60.0,215.0,18.9428985118866
1905206,-7.0,516.0,-209.0,14.801018667221069
1961673,-63.0,548.0,191.0,18.09207413196564
160085,-55.0,116.0,231.0,19.67199697494507
2057658,-127.0,1092.0,271.0,10.579451251029967
451256,-111.0,492.0,191.0,31.4309506893158
3463375,-247.0,524.0,167.0,34.53783254623413
530106,281.0,-660.0,-705.0,29.31333680152893
3204385,-151.0,876.0,151.0,11.878090786933901
1165464,-247.0,676.0,111.0,11.424703073501586
284246,129.0,-276.0,-217.0,11.699309825897215
2259173,-303.0,388.0,287.0,22.78533458709717
846516,113.0,524.0,167.0,24.59099273681641
1902647,145.0,740.0,215.0,11.31835834980011
2509493,145.0,412.0,-9.0,11.987922739982604
995621,193.0,-820.0,-777.0,16.653479290008548
2358464,-559.0,732.0,487.0,11.080143785476684
1763313,-111.0,460.0,511.0,15.967264986038211
1812972,657.0,-1284.0,-657.0,13.916365242004394
3115182,-311.0,-12.0,191.0,13.494294834136966
3306934,49.0,276.0,175.0,21.489877367019652
1649689,-351.0,28.0,135.0,24.286266136169434
704424,641.0,-820.0,-921.0,15.837895202636721
3450513,-599.0,-300.0,415.0,10.46781668663025
444580,49.0,1004.0,199.0,29.3311619758606
